Index,Model,fun,k,n,ngroups,R2,bias,MSE,TrueTreatmentVariance
1,2SLS,I,2,1000,3,0.708201417477646,0.0445083799855447,0.220897936254294,0.704589395804783
1,GMRF Prior,I,2,1000,3,0.750889893086606,0.0494740034355706,0.208502517377211,0.704589395804783
2,2SLS,I,2,1000,5,0.734799668520444,0.0375023475582921,0.201782290070025,0.704589395804783
2,GMRF Prior,I,2,1000,5,0.882457193803341,0.0684255914475272,0.118686005976781,0.704589395804783
3,2SLS,I,2,1000,10,0.361116868012923,0.028573864282973,1.15241524298881,0.704589395804783
3,GMRF Prior,I,2,1000,10,0.909338758663778,0.0766881342968568,0.118220451507745,0.704589395804783
4,2SLS,squared,2,1000,3,0.141209655199881,-0.163392225551709,0.765454701991964,0.860566477283322
4,GMRF Prior,squared,2,1000,3,0.186888823847966,-0.157874651053814,0.724752444246169,0.860566477283322
5,2SLS,squared,2,1000,5,0.280180354220739,-0.104636691215587,0.689873763693676,0.860566477283322
5,GMRF Prior,squared,2,1000,5,0.431232537248419,-0.0807947942545803,0.503725943481758,0.860566477283322
6,2SLS,squared,2,1000,10,0.284802378077449,-0.0694892851518955,1.46556350909985,0.860566477283322
6,GMRF Prior,squared,2,1000,10,0.642543458379162,-0.0579450632364907,0.332804740254069,0.860566477283322
7,2SLS,sin,2,1000,3,0.624588396116695,0.0544957162578388,0.290426664776448,0.767391802173001
7,GMRF Prior,sin,2,1000,3,0.648422369852967,0.0721820774247494,0.281297961771026,0.767391802173001
8,2SLS,sin,2,1000,5,0.603737403930069,0.0688644241556328,0.349584996924092,0.767391802173001
8,GMRF Prior,sin,2,1000,5,0.743930803382798,0.0914468834227851,0.208282142419368,0.767391802173001
9,2SLS,sin,2,1000,10,0.338323012106844,0.0363756553508118,1.01292994920472,0.767391802173001
9,GMRF Prior,sin,2,1000,10,0.831603150360529,0.0683180855324026,0.155688880795149,0.767391802173001
10,2SLS,I,3,1000,3,0.540225195616535,0.137112705760318,0.40948969361612,0.75515484878394
10,GMRF Prior,I,3,1000,3,0.709141723130509,0.118705086390883,0.263453874332886,0.75515484878394
11,2SLS,I,3,1000,5,0.0110299122280656,-0.214311876206717,67.3236653804135,0.754814458475687
11,GMRF Prior,I,3,1000,5,0.77546774657965,0.0714942015401017,0.219591544021672,0.75515484878394
12,2SLS,I,3,1000,10,0.00101950485141451,-5.80764217919021,5575.942264273,0.724952838645805
12,GMRF Prior,I,3,1000,10,0.792358390536343,0.0120461398132752,0.231341865759102,0.75515484878394
13,2SLS,squared,3,1000,3,0.276637388082862,0.154427386390934,0.69422052837959,0.731956526078804
13,GMRF Prior,squared,3,1000,3,0.530922684979617,0.170439604598719,0.398577223320673,0.731956526078804
14,2SLS,squared,3,1000,5,0.131344367130682,0.113147764510387,3.15431365579337,0.732630504596455
14,GMRF Prior,squared,3,1000,5,0.600906091883828,0.189936935683014,0.353734645054316,0.731956526078804
15,2SLS,squared,3,1000,10,0.0198720943069922,-77.6283287070525,966071.605954373,0.837850589142861
15,GMRF Prior,squared,3,1000,10,0.671890336435878,0.189903471507666,0.357608743049473,0.731956526078804
16,2SLS,sin,3,1000,3,0.610626595596137,-0.0755624844880591,0.379564326563317,0.873480170591547
16,GMRF Prior,sin,3,1000,3,0.718598107167122,-0.0564202390607466,0.251236091821478,0.873480170591547
17,2SLS,sin,3,1000,5,0.232165444491742,-0.120720065545086,3.6366537722324,0.872507289905232
17,GMRF Prior,sin,3,1000,5,0.815471711142527,-0.0452108901187372,0.164866494686405,0.873480170591547
18,2SLS,sin,3,1000,10,0.00168306137312435,-0.739239496534971,181.013686698359,0.984716256709086
18,GMRF Prior,sin,3,1000,10,0.835308523577382,-0.0448269861453313,0.154785957525873,0.873480170591547
19,2SLS,I,4,1000,3,0.277200630892931,0.178856610593188,1.31909621293508,0.652063288708342
19,GMRF Prior,I,4,1000,3,0.743745492215311,0.205211338737417,0.217305570818658,0.649912226022573
20,2SLS,I,4,1000,5,0.00135927051683302,0.939293893248129,135.693702492552,0.692580606619044
20,GMRF Prior,I,4,1000,5,0.764230279512015,0.255737015402257,0.246572163992914,0.649912226022573
